step,grad_norm,loss,param_norm,lr
16900,0.0597,0.0022,1804.3572,1.2050323630849189e-05
17000,0.0587,0.002,1804.3584,1.19299525387814e-05
17100,0.0486,0.0015,1804.3602,1.1809795037352862e-05
17200,0.0536,0.0016,1804.3613,1.168986522757912e-05
17300,0.0538,0.0018,1804.3627,1.1570177183755094e-05
17400,0.0525,0.0017,1804.3638,1.1450744951803397e-05
17500,0.0509,0.0015,1804.365,1.133158254762598e-05
17600,0.0492,0.0015,1804.3661,1.1212703955459316e-05
17700,0.0496,0.0015,1804.3674,1.1094123126233275e-05
17800,0.0526,0.0016,1804.3687,1.0975853975933929e-05
17900,0.0575,0.0019,1804.3698,1.085791038397044e-05
18000,0.0586,0.0019,1804.3706,1.0740306191546268e-05
18100,0.052,0.0017,1804.3718,1.0623055200034817e-05
18200,0.0569,0.0018,1804.3729,1.0506171169359805e-05
18300,0.0507,0.0015,1804.3737,1.0389667816380474e-05
18400,0.0483,0.0014,1804.3746,1.0273558813281843e-05
18500,0.0582,0.0018,1804.3756,1.0157857785970227e-05
18600,0.0508,0.0014,1804.3765,1.0042578312474172e-05
18700,0.0516,0.0015,1804.3772,9.927733921351018e-06
18800,0.0538,0.0016,1804.3783,9.813338090099256e-06
18900,0.0481,0.0014,1804.3796,9.699404243576889e-06
19000,0.0519,0.0014,1804.3802,9.585945752425963e-06
19100,0.0563,0.0015,1804.3809,9.472975931503466e-06
19200,0.0439,0.0013,1804.3815,9.36050803831876e-06
19300,0.0517,0.0017,1804.3822,9.248555271477778e-06
19400,0.0485,0.0012,1804.3828,9.137130769134071e-06
19500,0.0459,0.0013,1804.3834,9.026247607447022e-06
19600,0.0521,0.0015,1804.384,8.915918799047296e-06
19700,0.0541,0.0015,1804.385,8.806157291509717e-06
19800,0.0501,0.0014,1804.3854,8.696975965833865e-06
19900,0.0558,0.0016,1804.3861,8.588387634932382e-06
